"Internal Reference","Name","Description","Barcode","Product Category/ID","Point of Sale Category/ID","Product Type","Cost","Sales Price","Available in POS","Can be Purchased","Can be Sold"
"FD181007","Bearing Cage Steering","Bearing Cage Steering","FD181007","point_of_sale.00028","pos_category.2w","Storable Product","70.0","70.0","True","True","True"
"JE511049","Bearing Cam Shaft D102C","Bearing Cam Shaft D102C","JE511049","point_of_sale.00028","pos_category.2w","Storable Product","640.0","640.0","True","True","True"
"JG113061","Bearing Change Lever","Bearing Change Lever","JG113061","point_of_sale.00314","pos_category.2w","Storable Product","410.0","410.0","True","True","True"
"BA132007","Bearing Clutch [800T8]","Bearing Clutch [800T8]","BA132007","point_of_sale.00028","pos_category.3w","Storable Product","1920.0","1920.0","True","True","True"
"DG181005","Bearing Cone","Bearing Cone","DG181005","point_of_sale.00028","pos_category.2w","Storable Product","470.0","470.0","True","True","True"
"DG181045","Bearing Cone :- Upper","Bearing Cone :- Upper","DG181045","point_of_sale.00104","pos_category.2w","Storable Product","340.0","340.0","True","True","True"
"DK151013","Bearing Coupling 47X25X12","Bearing Coupling 47X25X12","DK151013","point_of_sale.00028","pos_category.2w","Storable Product","1030.0","1030.0","True","True","True"
"BF551040","Bearing Cyl Roll Nj204(20*47*14)","Bearing Cyl Roll Nj204(20*47*14)","BF551040","point_of_sale.00028","pos_category.qute","Storable Product","1200.0","1200.0","True","True","True"
"BB151031","Bearing Hub Fl","Bearing Hub Fl","BB151031","point_of_sale.00028","pos_category.3w","Storable Product","2270.0","2270.0","True","True","True"
"JH122013","Bearing Needle","Bearing Needle","JH122013","point_of_sale.00028","pos_category.2w","Storable Product","320.0","320.0","True","True","True"
"24171201","Bearing Needle","Bearing Needle","24171201","point_of_sale.00028","pos_category.3w","Storable Product","430.0","430.0","True","True","True"
"39266220","Bearing Needle (15 X 21 X 12)","Bearing Needle (15 X 21 X 12)","39266220","point_of_sale.00028","pos_category.2w","Storable Product","220.0","220.0","True","True","True"
"59200007","Bearing Needle Roller(30*37*16)","Bearing Needle Roller(30*37*16)","59200007","point_of_sale.00028","pos_category.2w","Storable Product","610.0","610.0","True","True","True"
"39100820","Bearing Needle [Bk1312]","Bearing Needle [Bk1312]","39100820","point_of_sale.00028","pos_category.2w","Storable Product","320.0","320.0","True","True","True"
"39215220","Bearing Needle [Hk1015]","Bearing Needle [Hk1015]","39215220","point_of_sale.00028","pos_category.2w","Storable Product","290.0","290.0","True","True","True"
"39143520","Bearing Needle [Hk1616]","Bearing Needle [Hk1616]","39143520","point_of_sale.00028","pos_category.3w","Storable Product","270.0","270.0","True","True","True"
