දිනය,ගෙවීම් ක්‍රමය,බිල්පත් අංකය,පාරිභෝගිකයා ,රිටන් බිල්පත් අංකය,Order/Order Lines/Product,Order/Order Lines/Quantity,Order/Order Lines/Discount (%),Order/Order Lines/Subtotal w/o Tax,මුදල්
2021-09-18 10:56:31,මුදල්,Order 00430-001-0028,FALSE,,[DM101139] Gasket (Gen. Cover),1,17,182.6,2020
,,,,,[36314001K] Steering Cone Kit - Ct / Platina 100,1,17,1103.9,
,,,,,[DL181080] Seal Oil-Fork,2,17,730.4,
2021-09-18 10:52:55,මුදල්,Order 00430-001-0027,FALSE,,[AL201012] Relay Head Light,1,15,476,1430
,,,,,[CL201023] Bulb - Head Lamp 12V-35/35W-Hs1,2,15,952,
2021-09-18 10:39:32,මුදල්,Order 00430-001-0026,FALSE,,[DH201080] Sensor Speed-Cable,1,15,1096.5,1100
2021-09-18 10:35:55,මුදල්,Order 00430-001-0025,FALSE,,[DH101016] Gasket - Cylinder,1,15,178.5,13750
,,,,,[DH101033] Gasket - Cylinder Head,1,15,807.5,
,,,,,[DS101036] Cam-Chain :-24-94L,1,15,1190,
,,,,,[DS101096] Camshaft Cap,1,15,238,
,,,,,[39201719] Oil Seal Valve,2,15,340,
,,,,,[DS101360] Cylinder Block Piston Assly,1,17,10997.5,
2021-09-18 10:32:30,මුදල්,Order 00430-001-0023,FALSE,,[36DS1201] Kit - Vaccum Piston Carburettor,1,15,2686,3760
,,,,,[DS121060] Jet Needle,1,15,255,
,,,,,[DG111008] Plug Spark,2,15,816,
2021-09-18 10:26:03,මුදල්,Order 00430-001-0021,Viduranga Motors,,[36DD4008] Kit Plate Clutch  ( Dd101480 ),1,0,1710,4300
,,,,,[30101096] Plate-Clutch ( Steel),4,0,720,
,,,,,[36DU1001] Kit - O'Ring Cylinder Head,1,0,550,
,,,,,[DM101140] Gasket (Clutch),1,0,410,
,,,,,[39240320] Bearing Ball [628],1,0,550,
,,,,,[39103519] Oil Seal Valve,2,0,360,
2021-09-18 10:15:45,මුදල්,Order 00430-001-0020,FALSE,,[JZ161202] Cable Accelerator,1,12,580.8,3860
,,,,,[DS191054] Cable -Brake With Iner Cable Dia. 2.5 Mm,1,15,867,
,,,,,[JZ161203] Cable Clutch,1,15,1062.5,
,,,,,[31151060] Shoe Brake,1,15,654.5,
,,,,,[30151105] Brake Shoe Assy,1,15,697,
2021-09-18 10:04:12,මුදල්,Order 00430-001-0019,FALSE,,[AB151095] Minor Kit- Re Wheel Cyl D25.4,1,15,340,2620
,,,,,[AF111010] Ignition Coil 3W Re-4S,1,15,1997.5,
,,,,,[94WCC11900042] DOT 3 Brake Oil - 200ml,1,0,280,
2021-09-18 10:01:48,මුදල්,Order 00430-001-0018,Lankika Tradding,,[AN101033] Crankcase - Magneto Side,1,20,22736,22740
2021-09-18 10:00:35,මුදල්,Order 00430-001-0017,FALSE,,[94WCC11900042] DOT 3 Brake Oil - 200ml,1,0,280,280
2021-09-18 09:59:56,මුදල්,Order 00430-001-0016,FALSE,,[DJ151071] Set - Disc Pad [ Ets ],1,17,738.7,1270
,,,,,[JW131809] Caliper Mini Kit,1,15,535.5,
2021-09-18 09:58:53,මුදල්,Order 00430-001-0015,FALSE,,[31151060] Shoe Brake,1,15,654.5,1550
,,,,,[JZ161221] Cable Accelerator,1,17,846.6,
,,,,,[22101423] Rubber Ring,1,0,50,
2021-09-18 09:56:31,මුදල්,Order 00430-001-0014,FALSE,,[36224004K] Rear Wheel Bearing Kit 2S-3W,2,15,3043,4610
,,,,,[AA171006] Silent Bush -Trailing Arm,1,15,450.5,
,,,,,[36152203] Liner Set [22-1502-39],1,20,432,
,,,,,[AB151095] Minor Kit- Re Wheel Cyl D25.4,2,15,680,
2021-09-18 09:54:19,මුදල්,Order 00430-001-0013,FALSE,,[24151171] Kit Shoe Brake,2,15,1598,2420
,,,,,[AB151095] Minor Kit- Re Wheel Cyl D25.4,2,15,680,
,,,,,[13101165] Gasket,1,15,144.5,
2021-09-18 09:51:54,මුදල්,Order 00430-001-0012,FALSE,,[31101067] Gauge,1,15,195.5,200
2021-09-18 09:48:34,මුදල්,Order 00430-001-0010,FALSE,,[31101067] Gauge,1,15,195.5,200
2021-09-18 09:40:47,මුදල්,Order 00430-001-0007,FALSE,,[36JZ0007] Kit Chain Sprocket,1,20,4296,4300
2021-09-18 09:39:32,මුදල්,Order 00430-001-0006,FALSE,,[AF201036] Rr Unit ( 4S),1,0,3900,3900
2021-09-18 09:34:45,මුදල්,Order 00430-001-0005,FALSE,,[JZ161202] Cable Accelerator,1,12,580.8,2510
,,,,,[DS191054] Cable -Brake With Iner Cable Dia. 2.5 Mm,1,15,867,
,,,,,[JZ161203] Cable Clutch,1,15,1062.5,
2021-09-18 09:33:12,මුදල්,Order 00430-001-0004,FALSE,,[DJ141056] Fuel Cock (Export Market),1,15,1037,1410
,,,,,[DL181080] Seal Oil-Fork,1,15,374,
2021-09-18 09:23:41,මුදල්,Order 00430-001-0003,FALSE,,[PLUG-2S(BOSCH)] Bosch Plug - 2S,1,0,300,300
2021-09-18 09:17:31,මුදල්,Order 00430-001-0002,FALSE,,[59200012] Bearing : Needdle (Sl 35 20 ),1,15,425,1890
,,,,,[6204-2NSE(NACHi)] NACHi 6204 - 2NSE Bearing,1,0,500,
,,,,,[24171024] Grease Seal [ R / Hub ],1,15,170,
,,,,,[22171007] Grease Seal [ R / Hub ],1,15,153,
,,,,,[AA191068] Cable Complete Reverse,1,15,637.5,
2021-09-18 09:13:53,මුදල්,Order 00430-001-0001,FALSE,,[36DH4154] Kit Chain Sprocket,1,0,7500,7500
2021-09-16 18:40:15,මුදල්,Order 00429-002-0001,FALSE,,[36JZ0183] Block Piston Kit,1,20,8120,9760
,,,,,[36JH0028] Kit Valve V12,1,20,1640,
2021-09-15 13:34:43,මුදල්,Order 00429-001-0013,FALSE,,[JB551411] Hub Clutch  Modified,1,17,1261.6,14100
,,,,,[JB551408] Wheel Clutch,1,17,763.6,
,,,,,[52JB0231] Cylinder Block & Piston Assly Disco Sp,1,17,7860.1,
,,,,,[JB511019] Gasket Cylinder Head Disco-94,1,17,655.7,
,,,,,[JD511004] Sleeve Spark Plug,1,17,664,
,,,,,[36DH4174] Disc Pad Set Rear Caliper Endu,1,17,1261.6,
,,,,,[JD521002] Gasket Cylinder Block,1,17,215.8,
,,,,,[36DD4008] Kit Plate Clutch  ( Dd101480 ),1,17,1419.3,
2021-09-15 13:23:33,මුදල්,Order 00429-001-0012,FALSE,,[DP181063] Windshield With Label,1,15,1215.5,1220
2021-09-15 13:16:49,මුදල්,Order 00429-001-0011,FALSE,,[DJ191015] Cable Comp Clutch,1,15,833,830
2021-09-15 13:16:13,මුදල්,Order 00429-001-0010,FALSE,,[DH121093] Needle Assembly,1,15,994.5,990
2021-09-15 13:15:19,මුදල්,Order 00429-001-0009,FALSE,,[JK181001] Windshield,1,15,943.5,2940
,,,,,[DL181010] Well Nut,4,15,374,
,,,,,[DZ191014] Cable - Speedometer Without Bent Tube,1,15,697,
,,,,,[DK151094] Coupling Rubber,1,15,926.5,
2021-09-15 13:09:25,මුදල්,Order 00429-001-0008,FALSE,,[DS101197] Sprocket-Output [14T],1,15,748,6230
,,,,,[DH101877] Friction Plate Kit 150Cc (Fol),1,15,4029,
,,,,,[30151105] Brake Shoe Assy,1,15,697,
,,,,,[DJ151071] Set - Disc Pad [ Ets ],1,15,756.5,
