ID,Product/Product/ID,Point of Sale Category,Internal Reference,Quantity On Hand,Sales Price,Cost,Updated Sales Price,Updated Cost,Status
23307,__export__.product_product_23304_be274506,Bajaj / 2W,JK73034N,0.0,6390.0,6390.0,,,
23306,__export__.product_product_23303_dc2f6be5,Bajaj / 2W,JK73034D,0.0,6910.0,6910.0,,,
23304,__export__.product_product_23301_fb4fa0aa,Bajaj / 2W,JK73033F,0.0,3680.0,3680.0,,,
17531,__export__.product_product_17528_b935abbc,Bajaj / 2W,DU73033L,0.0,1960.0,1960.0,,,
24292,__export__.product_product_24289_fb9a7cc8,Bajaj / 2W,JW7303X4,0.0,4005.0,4005.0,,,
24288,__export__.product_product_24285_27e21561,Bajaj / 2W,JW73033A,0.0,6030.0,6030.0,,,
17811,__export__.product_product_17808_0c7cb2cf,Bajaj / 2W,DZ73033F,0.0,4940.0,4940.0,,,
18528,__export__.product_product_18525_fc6eae62,Bajaj / 2W,JB73032V,0.0,5375.0,5375.0,,,
18527,__export__.product_product_18524_f49d0d76,Bajaj / 2W,JB730322,0.0,5440.0,5440.0,,,
18529,__export__.product_product_18526_d820eb27,Bajaj / 2W,JB73033A,0.0,5095.0,5095.0,,,
18530,__export__.product_product_18527_6117e008,Bajaj / 2W,JB73033Q,0.0,4525.0,4525.0,,,
23302,__export__.product_product_23299_9c0d7f33,Bajaj / 2W,JK73032V,0.0,8425.0,8425.0,,,
23301,__export__.product_product_23298_c2d6fba7,Bajaj / 2W,JK730322,1.0,8425.0,8425.0,,,
23303,__export__.product_product_23300_23c58f4b,Bajaj / 2W,JK73033A,0.0,8125.0,8125.0,,,
33548,__export__.product_product_33545_06a19014,Bajaj / 2W,R52PA0702,0.0,8200.0,8200.0,,,
13680,__export__.product_product_13677_57adb558,Bajaj / 2W,52PA0702,0.0,10550.0,10550.0,,,
33547,__export__.product_product_33544_a44f7c04,Bajaj / 2W,R52PA0701,0.0,8200.0,8200.0,,,
13679,__export__.product_product_13676_8b6b6b56,Bajaj / 2W,52PA0701,0.0,4910.0,4910.0,,,
18829,__export__.product_product_18826_e3b5fa83,Bajaj / 2W,JD233002,0.0,170.0,170.0,,,
13325,__export__.product_product_13322_2c61e97f,Bajaj / 2W,52JF0068,0.0,8560.0,8560.0,,,
13767,__export__.product_product_13764_2e1cd101,Bajaj / 2W,56DH456E,0.0,2650.0,2650.0,,,
13324,__export__.product_product_13321_5faecd0d,Bajaj / 2W,52JF0067,0.0,3110.0,3110.0,,,
23918,__export__.product_product_23915_28916319,Bajaj / 2W,JN73023B,0.0,8200.0,8200.0,,,
23919,__export__.product_product_23916_18746b31,Bajaj / 2W,JN73023C,0.0,6850.0,6850.0,,,
13282,__export__.product_product_13279_e10d2abb,Bajaj / 2W,52JD0600,0.0,4960.0,4960.0,,,
13025,__export__.product_product_13022_fd859931,Bajaj / 2W,52DJ0531,0.0,7745.0,7745.0,,,
13255,__export__.product_product_13252_0f5ef56c,Bajaj / 2W,52JD0309,0.0,11180.0,11180.0,,,
33008,__export__.product_product_33005_ce9567dd,Bajaj / 2W,PA75013E,0.0,3000.0,3000.0,,,
33013,__export__.product_product_33010_696d3bb9,Bajaj / 2W,PA75043C,0.0,8190.0,8190.0,,,
33017,__export__.product_product_33014_b6d4a652,Bajaj / 2W,PA75045W,1.0,7750.0,7750.0,,,
33016,__export__.product_product_33013_7142fe10,Bajaj / 2W,PA75045V,0.0,8340.0,8340.0,,,
33015,__export__.product_product_33012_3d10c7fb,Bajaj / 2W,PA75045R,0.0,8560.0,8560.0,,,
33014,__export__.product_product_33011_f90fe39a,Bajaj / 2W,PA75043F,0.0,4350.0,4350.0,,,
32300,__export__.product_product_32297_07fb64bc,Bajaj / 2W,JZ73045A,0.0,6290.0,6290.0,,,
32301,__export__.product_product_32298_efd66258,Bajaj / 2W,JZ73045B,0.0,6820.0,6820.0,,,
32302,__export__.product_product_32299_80c1a362,Bajaj / 2W,JZ73045D,0.0,6690.0,6690.0,,,
32303,__export__.product_product_32300_775a9a60,Bajaj / 2W,JZ73045E,1.0,7170.0,7170.0,,,
32297,__export__.product_product_32294_9c61a759,Bajaj / 2W,JZ73035D,0.0,5490.0,5490.0,,,
33011,__export__.product_product_33008_eb6d7830,Bajaj / 2W,PA75015D,0.0,4850.0,4850.0,,,
33012,__export__.product_product_33009_17ed039b,Bajaj / 2W,PA75015E,0.0,3650.0,3650.0,,,
32293,__export__.product_product_32290_a0997ff0,Bajaj / 2W,JZ73033B,2.0,6700.0,6700.0,,,
33006,__export__.product_product_33003_46f1807f,Bajaj / 2W,PA75013B,0.0,7620.0,7620.0,,,
33010,__export__.product_product_33007_abae218c,Bajaj / 2W,PA75014N,0.0,2720.0,2720.0,,,
33007,__export__.product_product_33004_586dddbd,Bajaj / 2W,PA75013C,1.0,14790.0,14790.0,,,
32294,__export__.product_product_32291_4646de0f,Bajaj / 2W,JZ73033C,0.0,6200.0,6200.0,,,
32298,__export__.product_product_32295_e71d1491,Bajaj / 2W,JZ73035E,0.0,6470.0,6470.0,,,
33009,__export__.product_product_33006_ee909cf3,Bajaj / 2W,PA75013F,0.0,7320.0,7320.0,,,
32306,__export__.product_product_32303_369263bf,Bajaj / 2W,JZ73053F,0.0,4010.0,4010.0,,,
32304,__export__.product_product_32301_d5b03256,Bajaj / 2W,JZ73053B,0.0,4020.0,4020.0,,,
32305,__export__.product_product_32302_81baad49,Bajaj / 2W,JZ73053C,0.0,9610.0,9610.0,,,
13281,__export__.product_product_13278_260363f2,Bajaj / 2W,52JD0599,0.0,7680.0,7680.0,,,
13265,__export__.product_product_13262_3a0364a5,Bajaj / 2W,52JD0389,3.0,3240.0,3240.0,,,
13267,__export__.product_product_13264_69b6d8ed,Bajaj / 2W,52JD0391,0.0,8160.0,8160.0,,,
13266,__export__.product_product_13263_907996fb,Bajaj / 2W,52JD0390,0.0,3270.0,3270.0,,,
24216,__export__.product_product_24213_cc660132,Bajaj / 2W,JW181211,0.0,1050.0,1050.0,,,
