External ID,Internal Reference,Sales Price,Cost
point_of_sale.PF121090,PF121090,10870.0,10870.0
point_of_sale.PF121099,PF121099,10190.0,10190.0
point_of_sale.PF121100,PF121100,7140.0,7140.0
point_of_sale.PF121101,PF121101,9730.0,9730.0
point_of_sale.PF122004,PF122004,4180.0,4180.0
point_of_sale.PF122005,PF122005,3520.0,3520.0
point_of_sale.PF122012,PF122012,14020.0,14020.0
point_of_sale.PF122014,PF122014,9680.0,9680.0
point_of_sale.PF122016,PF122016,1140.0,1140.0
point_of_sale.PF122019,PF122019,1140.0,1140.0
point_of_sale.PF122025,PF122025,13680.0,13680.0
point_of_sale.PF122027,PF122027,13370.0,13370.0
point_of_sale.PF131208,PF131208,725.0,725.0
point_of_sale.PF131213,PF131213,5335.0,5335.0
point_of_sale.PF131220,PF131220,160.0,160.0
point_of_sale.PF131222,PF131222,17980.0,17980.0
point_of_sale.PF131227,PF131227,330.0,330.0
point_of_sale.PF131228,PF131228,85.0,85.0
point_of_sale.PF131235,PF131235,1350.0,1350.0
point_of_sale.PF131236,PF131236,1620.0,1620.0
point_of_sale.PF131237,PF131237,250.0,250.0
point_of_sale.PF131239,PF131239,4090.0,4090.0
point_of_sale.PF141002,PF141002,2870.0,2870.0
point_of_sale.PF151000,PF151000,1950.0,1950.0
point_of_sale.PF151015,PF151015,8630.0,8630.0
point_of_sale.PF161001,PF161001,770.0,770.0
point_of_sale.PF161002,PF161002,1280.0,1280.0
point_of_sale.PF161003,PF161003,490.0,490.0
point_of_sale.PF161004,PF161004,230.0,230.0
