STR_PART_CODE,STR_DESC,INT_QTY,INT_TOTAL_COST,INT_AVG_UNIT_COST
24201421,REVERSE SWITCH & CABLE ASSY,26,14056.6,541
JZ581401,MANIFOLD PTE-16,1,207.5,207.5
JZ591043,SHIELD SILENCER,11,22003.3,2000.3
PA131002,FRONT AXLE - DIA 10,8,2589.6,323.7
PA131801,PANEL BRAKE FRONT,2,4482,2241
JW131807,BRAKE PAD SET,14,12678.4,906
AP161072,BEADING HEADLAMP HOUSING,12,4482,373.5
JZ181206,SCREW M5 X 21L,30,996,33.2
24141132,PULLEY TAP SIDE,15,1992,132.8
24141133,PULLEY KNOB SIDE,20,2656,132.8
24191136,CABLE FUEL COCK GREAY,53,35631.9,672.3
24191137,CABLE FUEL COCK BLACK,51,38520.3,755.3
AA181015,LOCK SET 4S UG,5,17430,3486
36PA0003,KIT PISTON RING SET,5,5685.5,1137.1
36PA0004,KIT VALVE,67,111776.1,1668.3
52JB0231,CYLINDER BLOCK & PISTON ASSLY DISCO SP,44,339026,7705
52PA0017,COWLING (PA73013F) ASLY F RED/RED DECAL,1,5751.9,5751.9
52PA0018,COWLING (PA73013E) ASLY C BLUE/BLU DECAL,2,4498.6,2249.3
52PA0023,SIDE PANEL RH ASSLY BLACK WITH RED ( B2),1,2747.3,2747.3
PA351202,H T COIL WITH CABLE - RH,1,987.7,987.7
PA401000,CRYSTAL ( GRAY),5,830,166
JN401600,DC HORN LH WITH STAY,12,20816.4,1734.7
BA191050,CABLE - INNER :- GEAR,46,10308.6,224.1
52PA0051,SIDE PANEL LH ASSLY BLACK WITH GREEN(B3),1,2008.6,2008.6
39260011,WASHER - PLAIN,62,5146,83
DF161416,CAP - CASE CHAIN,46,1909,41.5
DZ73134G,SEAT COV PLATINA BLK  PAINT+DCL B/MAROON,1,5212.4,5212.4
DZ74033W,FAIRING PLATINA BLACK PNT+DCL BLACK,5,19422,3884.4
DZ74034G,FAIRING PLATINA BLACK PNT+DCL BLK/MAROON,3,9935.1,3311.7
JA551405,CLUTCH HOLDER,6,2091.6,348.6
JA581232,O-RING(FCB),6,747,124.5
AP151017,ASSEMBLY BACK PLATE FRONT,3,5428.2,1809.4
AL161312,COVER HEADLAMP -RH,5,2282.5,456.5
DK101064,CAM CHAIN (100 LINKS),19,22235.7,1170.3
DK101340,'O' RING (OIL COOLER PIPE),45,1494,33.2
